CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1235	1650	41	0.9389	30.057
1650	1770	41	0.9698	-15.995
1650	2758	41	0.947	-34.006
1650	3035	41	0.9588	0.000
3345	3430	41	0.9523	13.019
1340	3345	41	0.9457	-76.031
61	3345	41	0.9457	-76.031
178	3345	41	0.9408	30.008
715	3345	41	0.9484	40.053
2453	3035	41	0.9691	-26.016
2758	3035	41	0.9837	34.006
1235	3035	41	0.9483	30.057
1770	3035	41	0.9774	15.995
1899	3035	41	0.9612	4.068
946	3035	41	0.9519	-15.995
2453	2527	41	0.9677	15.995
2453	2758	41	0.97	-60.022
2453	3158	41	0.9677	15.995
1770	2453	41	0.9685	42.011
1899	2453	41	0.9745	30.084
1970	2453	41	0.9576	-1.979
653	2453	41	0.9587	-9.043
946	2453	41	0.9673	10.021
32	1770	41	0.9628	96.058
653	1899	41	0.9611	-39.127
653	1970	41	0.9362	-7.064
1340	2527	41	0.9581	-62.015
1340	3158	41	0.9581	-62.015
1340	3430	41	0.969	-63.012
61	1340	41	1.0	-0.000
178	1340	41	0.9556	106.039
715	1340	41	0.9644	116.083
2527	3158	41	1.0	0.000
3158	3430	41	0.9714	-0.996
1899	3158	41	0.9689	46.079
1970	3158	41	0.9611	14.015
61	3158	41	0.9581	-62.016
715	3158	41	0.9594	54.068
946	3158	41	0.9763	26.016
2527	3430	41	0.9714	-0.996
61	3430	41	0.969	-63.012
178	3430	41	0.9505	43.027
715	3430	41	0.9711	53.072
946	3430	41	0.9589	25.020
1222	3398	41	0.9545	-62.015
984	3398	41	0.9783	26.015
61	715	41	0.9644	-116.084
178	715	41	0.9453	-10.045
715	2527	41	0.9594	54.068
1235	1770	41	0.9552	14.062
1235	2758	41	0.9475	-3.949
392	1235	41	0.9292	-28.078
1899	2527	41	0.9689	46.079
1970	2527	41	0.9611	14.015
61	2527	41	0.9581	-62.016
946	2527	41	0.9763	26.016
61	178	41	0.9556	-106.039
1770	1899	41	0.9594	11.927
1899	1970	41	0.9575	32.063
1899	2758	41	0.9598	-29.938
946	1899	41	0.9682	-20.063
293	392	41	0.924	-1.943
1770	2758	41	0.9695	-18.011
984	1222	41	0.9305	88.031
946	1770	41	0.9558	-31.990
946	1970	41	0.9572	12.000
2486	2945	42	0.8025	-0.000
1263	1771	42	0.8697	190.136
1545	1771	42	0.8505	190.135
1771	2486	42	0.8924	0.001
1771	2702	42	0.8728	-192.150
1771	2816	42	0.8505	-190.136
1771	3097	42	0.8526	-192.150
1771	3167	42	0.8804	-174.141
1771	3438	42	0.8328	-206.168
13	3492	42	0.8241	18.010
2636	2963	42	0.8154	14.986
2940	2963	42	1.0	-0.000
2963	3028	42	0.8509	193.160
2963	3495	42	0.8379	175.149
1832	2963	42	0.9348	-0.000
432	2963	42	0.8251	14.987
1545	1607	42	0.8297	-1.008
1607	2056	42	0.9069	-0.000
1607	2647	42	0.9015	-0.000
1607	2702	42	0.8405	-1.007
1607	2816	42	0.8297	1.007
1607	3167	42	0.8311	17.002
1607	3382	42	1.0	-0.001
110	1607	42	0.8066	0.000
2891	3394	42	0.8288	-26.017
1712	2499	42	0.8429	0.001
1712	2513	42	0.8429	0.003
186	247	42	0.8638	-88.069
186	403	42	0.8432	-66.046
186	807	42	0.8132	-40.031
186	1832	42	0.8246	-241.196
186	2624	42	0.9044	-48.036
186	3000	42	0.8444	-22.021
186	3028	42	0.9048	-48.037
186	3198	42	0.8334	-224.194
186	3229	42	0.8638	-88.069
186	3495	42	0.8796	-66.048
247	807	42	0.8335	48.037
807	2624	42	0.8452	-8.005
807	3000	42	0.8347	18.011
807	3229	42	0.8335	-48.037
807	3495	42	0.8489	-26.016
2702	2816	42	0.8864	2.014
2816	3097	42	0.8342	-2.014
2816	3167	42	0.8813	15.995
2816	3303	42	0.8784	-18.009
2816	3382	42	0.8297	-1.008
