CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2251	2390	-39.995	0.000	0.7225	0.6305	1
2251	3845	-76.052	0.000	0.7938	0.6590	1
2251	3895	-162.053	0.000	0.8161	0.6462	1
2251	3971	0.000	0.000	0.9076	0.6668	1
2252	2259	13.943	0.000	0.7726	0.5877	1
2252	2309	25.979	0.000	0.7438	0.4428	1
2252	2447	11.927	0.000	0.7193	0.5047	1
2252	2563	-30.011	0.000	0.7651	0.6442	1
2252	2655	-209.054	0.000	0.7001	0.7117	1
2252	2661	0.000	0.000	0.9630	0.7746	1
2252	2664	-274.084	0.000	0.7023	0.5706	1
2252	2670	-209.054	0.000	0.7001	0.7117	1
2252	2727	-18.011	0.000	0.8159	0.7023	1
2252	2767	0.000	0.000	0.8747	0.6602	1
2252	2792	-0.000	0.000	0.8830	0.6919	1
2252	2848	-209.054	0.000	0.7001	0.7117	1
2252	3029	-178.048	0.000	0.7299	0.6261	1
2252	3088	13.943	0.000	0.7726	0.5877	1
2252	3144	25.979	0.000	0.7899	0.5317	1
2252	3150	-40.031	0.000	0.7517	0.4144	1
2252	3193	-18.011	0.000	0.8159	0.7023	1
2252	3327	-12.036	0.000	0.7623	0.3810	1
2252	3542	-178.047	0.000	0.7299	0.6261	1
2252	3665	13.943	0.000	0.8219	0.5757	1
2252	3904	-0.012	0.000	0.9705	0.7672	1
2252	3911	0.012	0.000	0.9705	0.7672	1
2252	3980	-40.031	0.000	0.7500	0.4263	1
2253	2504	-60.021	0.000	0.8317	0.5760	1
2253	2707	-55.989	0.000	0.8358	0.6612	1
2253	2859	-55.990	0.000	0.8358	0.6612	1
2253	3217	-70.005	0.000	0.8256	0.5889	1
2253	3240	-55.989	0.000	0.8281	0.5827	1
2253	3808	-60.021	0.000	0.8317	0.5760	1
2253	3973	-70.005	0.000	0.8256	0.5889	1
2256	2839	-50.052	0.000	0.8182	0.5096	1
2256	3989	0.000	0.000	1.0000	1.0000	1
2256	4153	189.998	0.000	0.7756	0.4844	1
2259	2538	-0.000	0.000	0.7955	0.5680	1
2259	3088	0.000	0.000	1.0000	1.0000	1
2259	3665	0.000	0.000	0.7990	0.5505	1
2259	3810	-26.974	0.000	0.7295	0.4490	1
2259	3904	-13.954	0.000	0.7608	0.5689	1
2259	3911	-13.930	0.000	0.7608	0.5689	1
2260	2488	56.063	0.000	0.8954	0.7201	1
2260	3171	-75.980	0.000	0.8249	0.5946	1
2260	3850	-92.048	0.000	0.7811	0.5053	1
2260	4251	0.840	0.000	0.7700	0.3854	1
2261	2379	216.223	0.000	0.7040	0.4439	1
2261	2420	392.222	0.000	0.7369	0.3925	1
2261	3119	246.233	0.000	0.7200	0.3287	1
2261	3741	216.222	0.000	0.7040	0.4439	1
2261	3762	306.255	0.000	0.7288	0.3430	1
2262	2320	48.000	0.000	0.7831	0.6481	1
2262	2407	151.099	0.000	0.8007	0.6783	1
2262	2413	169.110	0.000	0.7446	0.6029	1
2262	2424	31.970	0.000	0.7857	0.6181	1
2262	2660	-34.043	0.000	0.7705	0.4767	1
2262	2668	87.994	0.000	0.7647	0.6240	1
2262	2847	40.010	0.000	0.7327	0.5561	1
2262	2858	75.047	0.000	0.7642	0.5561	1
2262	2871	188.047	0.000	0.7224	0.5978	1
2262	2988	205.073	0.000	0.7125	0.5655	1
2262	3205	39.995	0.000	0.7273	0.5166	1
2262	3610	220.073	0.000	0.7424	0.5753	1
2262	3628	-19.954	0.000	0.7681	0.5992	1
2262	3670	47.999	0.000	0.7831	0.6481	1
2262	3675	-35.948	0.000	0.8207	0.6957	1
2262	3865	116.062	0.000	0.8797	0.6881	1
2262	3917	151.099	0.000	0.8007	0.6783	1
2262	3938	87.994	0.000	0.7647	0.6240	1
2262	3962	202.063	0.000	0.7073	0.4651	1
2262	4069	205.073	0.000	0.7125	0.5655	1
2262	4177	40.010	0.000	0.7327	0.5561	1
2262	4188	40.010	0.000	0.7171	0.5166	1
2264	2292	481.159	0.000	0.7811	0.4568	1
2264	2428	325.117	0.000	0.7999	0.4322	1
2264	2547	163.086	0.000	0.7157	0.3628	1
2264	2846	290.116	0.000	0.7978	0.4038	1
2264	2853	307.142	0.000	0.7878	0.4038	1
2264	3024	276.064	0.000	0.8002	0.3781	1
2264	3218	182.022	0.000	0.7273	0.4074	1
2264	3663	481.159	0.000	0.7711	0.4568	1
2265	2715	68.974	0.000	0.9130	0.7967	1
2265	3086	-45.059	0.000	0.8916	0.6956	1
2265	3685	-17.028	0.000	0.7253	0.6671	1
2265	3701	86.000	0.000	0.9118	0.7341	1
2265	3739	2.015	0.000	0.7788	0.6778	1
2266	2313	17.027	0.000	0.8420	0.6065	1
2266	3042	17.026	0.000	0.8420	0.6065	1
2268	2324	29.063	0.000	0.7252	0.6358	1
2268	2721	29.063	0.000	0.7945	0.6855	1
2268	2933	161.142	0.000	0.7120	0.6490	1
2268	3409	29.063	0.000	0.7945	0.6855	1
2268	3475	171.162	0.000	0.7067	0.5949	1
2268	3498	187.157	0.000	0.7062	0.7038	1
2268	3554	173.142	0.000	0.7290	0.7133	1
2268	4314	-2.987	0.000	0.7591	0.6091	1
2268	4378	227.225	0.000	0.7528	0.5928	1
2272	2314	30.011	0.000	0.7446	0.6315	1
2272	2741	163.085	0.000	0.7796	0.5987	1
2272	2800	146.058	0.000	0.7665	0.4710	1
2272	3029	181.096	0.000	0.7768	0.5555	1
2272	3176	41.996	0.000	0.8359	0.5514	1
2272	3234	59.023	0.000	0.8042	0.5306	1
2272	3256	153.101	0.000	0.8510	0.5348	1
2272	3542	181.096	0.000	0.7768	0.5555	1
2272	3560	19.064	0.000	0.7604	0.5681	1
2272	3781	162.053	0.000	0.7765	0.6138	1
2272	3806	146.058	0.000	0.7665	0.4710	1
2272	4096	0.000	0.000	0.8739	0.5906	1
2273	2433	0.000	0.000	1.0000	1.0000	1
2277	2304	132.044	0.000	0.7522	0.4360	1
2277	2379	-29.974	0.000	0.8784	0.5500	1
2277	2420	146.025	0.000	0.8811	0.7011	1
2277	2454	-162.052	0.000	0.9241	0.7284	1
2277	2685	162.053	0.000	0.8804	0.5025	1
2277	2699	104.047	0.000	0.7713	0.6369	1
2277	2731	162.056	0.000	0.9386	0.6879	1
2277	2945	-101.994	0.000	0.7035	0.5149	1
2277	3008	162.053	0.000	0.8804	0.5025	1
2277	3011	146.057	0.000	0.8002	0.5201	1
2277	3119	0.036	0.000	0.8452	0.5616	1
2277	3149	132.079	0.000	0.8459	0.5016	1
2277	3512	146.058	0.000	0.8178	0.5209	1
2277	3573	-130.026	0.000	0.7812	0.5293	1
2277	3598	2.016	0.000	0.8431	0.6102	1
2277	3631	-132.043	0.000	0.8688	0.5984	1
2277	3650	176.069	0.000	0.7814	0.5385	1
2277	3661	-71.985	0.000	0.7500	0.4976	1
2277	3741	-29.974	0.000	0.8784	0.5500	1
2277	3762	60.058	0.000	0.8112	0.5797	1
2277	3768	-15.995	0.000	0.8693	0.6903	1
2277	3802	15.996	0.000	0.7676	0.5633	1
2277	3812	15.996	0.000	0.8806	0.5978	1
2277	3829	-162.053	0.000	0.9241	0.7284	1
2278	2467	-175.147	0.000	0.7551	0.5656	1
2278	2570	-6.047	0.000	0.7319	0.6622	1
2278	2571	-175.150	0.000	0.7320	0.5024	1
2278	2736	-192.152	0.000	0.7650	0.5425	1
2278	2768	-174.141	0.000	0.7712	0.5912	1
2278	2784	-174.141	0.000	0.7712	0.5912	1
2278	2815	-158.147	0.000	0.8216	0.7192	1
2278	2876	-190.136	0.000	0.7263	0.5507	1
2278	3054	18.010	0.000	0.8060	0.7057	1
2278	3275	-190.137	0.000	0.7883	0.6205	1
