CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
12	2407	111.089	0.000	0.7588	0.7079	1
12	2424	-8.040	0.000	0.7071	0.5202	1
12	2598	180.063	0.000	0.7907	0.7051	1
12	2660	-74.053	0.000	0.8209	0.5086	1
12	2662	197.090	0.000	0.8044	0.7435	1
12	2668	47.984	0.000	0.8443	0.6455	1
12	2692	-40.068	0.000	0.7649	0.6556	1
12	2847	0.000	0.000	0.9774	0.8804	1
12	2858	35.037	0.000	0.9626	0.8234	1
12	2871	148.037	0.000	0.8911	0.7578	1
12	2895	-96.131	0.000	0.7972	0.6484	1
12	2905	-94.115	0.000	0.7442	0.6519	1
12	2941	41.995	0.000	0.7428	0.5376	1
12	2969	180.063	0.000	0.8009	0.6461	1
12	2986	28.016	0.000	0.7884	0.6314	1
12	2988	165.064	0.000	0.8333	0.7081	1
12	3060	148.037	0.000	0.7510	0.5662	1
12	3113	41.995	0.000	0.7613	0.5931	1
12	3177	180.063	0.000	0.8009	0.6461	1
12	3205	-0.015	0.000	0.9733	0.8626	1
12	3247	215.100	0.000	0.7009	0.6981	1
12	3284	-134.036	0.000	0.7913	0.6197	1
12	3440	-8.077	0.000	0.7241	0.6574	1
12	3458	-0.051	0.000	0.8323	0.5067	1
12	3519	-96.131	0.000	0.7972	0.6484	1
12	3581	-72.984	0.000	0.7502	0.7246	1
12	3584	71.059	0.000	0.7007	0.7043	1
12	3610	180.063	0.000	0.8869	0.7311	1
12	3625	-72.037	0.000	0.7355	0.6525	1
12	3641	-62.015	0.000	0.7826	0.7333	1
12	3642	-52.071	0.000	0.7248	0.6009	1
12	3652	-118.043	0.000	0.7105	0.5848	1
12	3865	76.052	0.000	0.7659	0.5555	1
12	3917	111.089	0.000	0.7588	0.7079	1
12	3938	47.984	0.000	0.8443	0.6455	1
12	3959	35.037	0.000	0.8238	0.5705	1
12	3961	215.100	0.000	0.7589	0.6991	1
12	3962	162.053	0.000	0.9114	0.7208	1
12	3963	71.059	0.000	0.7007	0.7043	1
