row ID,row m/z,row retention time,intensity_measure,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,Unnamed: 13
707,356.2278060913086,3.1189642,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064443.212849941,1935971.9231197597,
708,249.12348175048828,1.59124115,area,0.0,0.0,0.0,0.0,0.0,0.0,227172.3623111772,855526.8382227971,0.0,0.0,
709,722.4583129882812,8.7673048,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044688.6625656463,
710,381.3376791824952,10.137395714285717,area,0.0,3602.889583388427,0.0,4627.764432129323,0.0,7321.157645786485,19233.77563976131,28597.826812470343,1659297.58689,104682.91535865668,
711,287.2367858886719,7.896618066666666,area,0.0,0.0,0.0,0.0,0.0,0.0,1598.2680949737337,0.0,467246.9421212072,92795.96775400908,
712,335.1100959777832,1.970445375,area,0.0,0.0,0.0,0.0,0.0,0.0,5344.670224561626,74927.65845240219,107473.42067857816,1648707.845047431,
713,295.1904022216797,6.782808470000001,area,11182.1666340823,11885.310102191524,12483.693075505314,11668.01656009722,98905.39675344154,49194.095197396906,1181542.3064290162,3482838.157397925,49129.74998799,35165.94895241085,
714,423.3472076437988,11.212078600000002,area,0.0,0.0,0.0,0.0,42131.74270928624,71299.81513957723,0.0,2807.000672461676,1659760.1713761808,43915.68060029247,
715,300.2167460134277,3.411698533333334,area,0.0,0.0,868.0093233882171,0.0,0.0,0.0,0.0,0.0,38831.53559770469,2903415.590015857,
716,244.14361953735352,3.227624,area,0.0,0.0,0.0,0.0,0.0,0.0,3379235.878654058,2886310.1312037185,0.0,0.0,
717,372.27422485722656,6.79353528,area,3614.177266062039,3261.48324339246,1326.9109587440346,2102.2243964597906,97392.40117007194,56731.33833945285,1062393.1751987874,2107097.784729086,161262.0558158558,23512.300153847413,
718,168.10201721274416,1.32386988,area,5509.469269482781,5146.108814277825,4816.094352017208,3359.3049329527657,1829660.7773272477,2623354.500391223,184962.03621549855,98317.26190630076,2303606.5097284927,9791576.346460609,
719,388.12376403808594,2.7114323,area,0.0,0.0,0.0,0.0,2102605.204151533,2297168.046207166,0.0,0.0,0.0,0.0,
720,248.1272487640381,3.3567854,area,0.0,0.0,0.0,0.0,2544977.304205219,2500380.8412218555,0.0,0.0,162122.2236660229,2018426.832011448,
721,377.17132568359375,1.5743965,area,0.0,0.0,0.0,0.0,0.0,0.0,1647122.5835902116,3538370.9562063827,0.0,0.0,
722,282.2061828613281,4.260543279999999,area,0.0,0.0,0.0,0.0,0.0,59709.4779294379,29774.315128674432,41663.800023035226,26344.94737160596,2649036.3829311267,
723,699.3565673828125,5.4965495,area,0.0,0.0,0.0,0.0,0.0,0.0,29202.018721314125,0.0,0.0,1326065.626845965,
724,315.2531365318739,7.197221355555556,area,1255.0728340085282,558.7561037387842,0.0,1065.92325969727,5481.130415966318,2573.46707673718,6129.912881166549,13136.750444796437,1806197.105997632,69538.86354504888,
725,318.1703224182129,4.40974575,area,0.0,0.0,0.0,0.0,0.0,0.0,274613.25028578617,65963.7045411297,30178.63115402348,1481145.298142539,
726,366.336430867513,7.545316916666667,area,0.0,0.0,0.0,0.0,108813.8849031106,24994.692854012283,147251.8281060931,576528.1907224333,9314.52528740499,40493.26359927177,
727,678.5698852582194,11.785271666666668,area,0.0,0.0,0.0,0.0,2794.805258020013,15708.830066235369,10119.335935201962,3238.662939587478,2259654.8621484376,527573.7063052133,
728,228.12471336784145,1.962060542857143,area,442.3056500412585,418.7154041773608,0.0,933.6688978542604,0.0,0.0,39227.66978982554,32039.559181412165,417228.4354792331,3617846.9628665354,
729,723.427881881063,9.570384266666668,area,0.0,0.0,0.0,0.0,3433.9462433363337,4757.632813386224,40979.1205695717,10077.534401107874,18110.233993238275,6315198.331302137,
730,307.2262298592285,6.57623332,area,0.0,0.0,585.750798906006,416.6767141113656,0.0,0.0,127877.5568156802,501731.4350587039,12825.986001170711,0.0,
731,352.1504669189453,3.8707548,area,0.0,0.0,0.0,0.0,1872462.900497626,2093136.344166085,0.0,0.0,0.0,0.0,
