	Malus_vs_Potentilla_fold_change_log2	Malus_vs_Potentilla_p_value	Malus_vs_Prunus_fold_change_log2	Malus_vs_Prunus_p_value	Potentilla_vs_Prunus_fold_change_log2	Potentilla_vs_Prunus_p_value
asparagine	-1.24001160670647	0.67115053143114	-2.16552885036164	0.502441349255966	-0.925517243655176	0.950097452149307
2-(Hydroxymethyl)-6-[4-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)butan-2-yloxy]oxane-3,4,5-triol	0.233055290206991	0.999792806815828	3.74436227876008	0.411622326498211	3.51130698855308	0.420605826421617
3,5-dihydroxy-3-methylpentanoic acid	-1.66714807950086	0.983238673509193	2.53736148797202	0.480124548450557	4.20450956747288	0.396268259646138
2-isopropylphenol	2.07175927499655	0.221221712575755	-0.19975668546154	0.996795461248478	-2.27151596045809	0.201025041900038
D-Linalool 3-(6''-malonylglucoside)	6.48250449255845	0.999949835682606	13.7355255005207	0.36742135856721	7.25302100796223	0.371481593674878
carnitinium	-2.00236267444536	0.328811209470566	-0.0326619704828561	0.99879722650216	1.96970070396251	0.347388102888906
adamantane	4.3664940572525	0.170556053444075	3.10290939001391	0.710352802529424	-1.26358466723859	0.452069430131044
10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid	-4.07246228839731	0.212766520506095	-0.240922049778121	0.947462437521095	3.83154023861919	0.312951265341438
glutamine	-1.08005325659981	0.716558394156437	-2.09354008682997	0.514812248043903	-1.01348683023016	0.930943523215479
Quercetin-3-o-vicianoside	4.38575067472317	0.967686574626659	6.62348653874794	0.495294688002587	2.23773586402478	0.628558604404708
3-(indol-3-yl)lactic acid	-0.197553464146786	0.921356667885758	-0.331935757188364	0.813210756871565	-0.134382293041578	0.970102493446678
Tyrosyl-Cysteine	0	1	13.1652454588367	0.482727279503212	13.1652454588367	0.482727279503212
4-hydroxybenzaldehyde	-1.55997791062067	0.999852047800831	5.68845548408492	0.468167482397937	7.24843339470559	0.460026268545603
isorhamnetin	2.33973887114026	0.937309514335252	3.83637815837737	0.533822836235629	1.4966392872371	0.72664633683263
5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl hexopyranoside	2.12759802758229	0.572488958290764	0.858716182704411	0.965037825542583	-1.26888184487788	0.71617542072447
Leucyl-leucine	0.683080103335576	0.999796491645809	5.35188154338956	0.462977703062943	4.66880144005398	0.472570950282947
