CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4207	4308	10	0.8625	-0.000
1185	4262	10	0.8665	-0.001
1465	4262	10	0.8676	-0.001
4170	4262	10	0.8408	-0.001
4221	4262	10	0.8231	0.000
4223	4262	10	0.8514	-0.001
4262	4265	10	0.8222	-0.000
4262	4278	10	0.704	-2.998
4262	4310	10	0.8647	16.032
958	1185	10	0.8275	74.019
1185	1460	10	0.7998	-166.048
1185	1465	10	0.968	0.000
1185	4170	10	0.894	-0.000
1185	4180	10	0.7998	-166.048
1185	4221	10	0.8346	-0.001
1185	4223	10	0.9353	-0.000
1185	4265	10	0.8159	-0.001
1185	4310	10	0.9311	16.031
4223	4278	10	0.7844	-2.999
4265	4278	10	0.7106	-2.998
958	4308	10	0.8881	-0.001
4221	4308	10	0.7345	-74.019
4261	4308	10	0.7952	222.057
545	1231	10	0.866	-296.075
794	1231	10	0.9497	-148.037
849	1231	10	0.9191	-222.055
1043	1231	10	0.9613	-74.019
1231	1460	10	0.8235	313.101
1231	4131	10	0.952	-148.038
1231	4180	10	0.8235	313.101
1231	4193	10	0.8895	239.082
1231	4240	10	0.8118	208.038
1231	4277	10	0.8259	134.021
958	1465	10	0.8147	74.019
958	4170	10	0.7774	74.019
958	4221	10	0.7439	74.018
958	4223	10	0.7941	74.019
958	4261	10	0.8445	-222.058
831	4238	10	0.8222	56.992
937	4238	10	0.8343	-17.027
3069	4238	10	0.781	88.035
4162	4238	10	0.7718	206.025
4200	4238	10	0.8548	-17.027
1465	4170	10	0.8923	-0.000
4170	4221	10	0.8706	-0.001
4170	4223	10	0.894	0.000
4170	4265	10	0.8012	-0.001
4170	4310	10	0.8866	16.031
794	831	10	0.8283	239.083
831	937	10	0.817	74.019
831	1043	10	0.8422	-313.102
831	3069	10	0.8242	-31.043
831	4162	10	0.8171	-149.033
831	4200	10	0.823	74.019
1465	4221	10	0.8412	-0.001
4221	4223	10	0.8409	0.001
4221	4265	10	0.8202	0.000
4221	4310	10	0.8805	16.032
545	4349	10	0.8933	-0.007
849	4349	10	0.8587	74.012
1460	4349	10	0.8438	-17.034
4138	4349	10	0.7865	14.009
4169	4349	10	0.8534	132.000
4180	4349	10	0.8438	-17.033
4193	4349	10	0.8577	56.985
794	4131	10	0.9181	-296.075
849	4131	10	0.8766	-370.093
1043	4131	10	0.9261	-222.057
4131	4193	10	0.8384	387.120
4131	4261	10	0.7641	331.111
4131	4306	10	0.7946	257.091
3065	4138	10	0.7064	74.018
4062	4138	10	0.7185	60.007
3069	4162	10	0.7711	-117.990
4162	4169	10	0.7875	-74.020
1118	4261	10	0.7463	91.044
1344	4261	10	0.7463	91.044
2804	4261	10	0.7463	91.044
4083	4261	10	0.7463	91.044
4261	4306	10	0.7552	-74.020
794	4240	10	0.8381	60.001
849	4240	10	0.8592	-14.017
4240	4268	10	0.7957	74.020
4240	4277	10	0.857	-74.018
1453	4218	10	0.9456	0.000
1482	4218	10	0.9535	-0.000
1490	4218	10	0.7655	74.019
1499	4218	10	0.9507	0.000
4173	4218	10	0.9567	0.000
4217	4218	10	0.7507	74.019
4218	4276	10	0.9507	0.000
1465	4265	10	0.8139	-0.001
4223	4265	10	0.8138	-0.001
4265	4310	10	0.8114	16.032
1453	1499	10	0.9629	0.000
1482	1499	10	0.9619	-0.000
1490	1499	10	0.773	74.019
1499	4173	10	0.9571	-0.000
1499	4217	10	0.7551	-74.019
1499	4276	10	1.0	0.000
1118	4306	10	0.8699	17.025
1344	4306	10	0.8699	17.024
2804	4306	10	0.8699	17.025
4083	4306	10	0.8699	17.024
4164	4306	10	0.871	-222.059
1453	1490	10	0.7409	-74.019
1482	1490	10	0.7531	-74.019
1490	4164	10	0.7129	-222.056
1490	4173	10	0.7535	74.019
1490	4217	10	0.9523	0.000
1490	4276	10	0.773	74.019
545	794	10	0.8913	-148.038
545	849	10	0.9305	-74.019
545	1043	10	0.8756	-222.056
545	1460	10	0.9036	17.027
545	4169	10	0.8706	-132.007
545	4180	10	0.9036	17.026
545	4193	10	0.905	-56.992
1453	4217	10	0.7188	-74.019
1482	4217	10	0.7417	-74.019
4164	4217	10	0.7128	222.056
4173	4217	10	0.7374	-74.019
4217	4276	10	0.7551	74.019
794	4277	10	0.8741	-14.016
1043	4277	10	0.8387	60.002
4268	4277	10	0.7639	-148.037
1118	4083	10	1.0	0.000
1344	4083	10	1.0	-0.000
2804	4083	10	1.0	0.000
4083	4164	10	0.8289	239.083
794	1460	10	0.8229	165.065
849	1460	10	0.8566	91.046
1043	1460	10	0.8072	239.083
1460	4169	10	0.8525	-149.033
1460	4180	10	1.0	-0.000
1460	4193	10	0.9011	-74.019
794	849	10	0.9339	74.018
849	1043	10	0.9257	-148.037
849	4180	10	0.8566	91.046
849	4193	10	0.9112	17.027
1465	4223	10	0.9339	-0.000
1465	4310	10	0.9235	16.031
1118	4164	10	0.8289	239.083
1344	4164	10	0.8289	239.083
2804	4164	10	0.8289	239.083
4164	4200	10	0.7202	130.027
4223	4310	10	0.9007	16.031
1453	4173	10	0.9497	-0.000
1482	4173	10	0.9635	-0.000
4173	4276	10	0.9571	0.000
937	4200	10	0.9551	0.000
3069	4200	10	0.7755	105.061
4062	4169	10	0.8035	-57.984
1118	1344	10	1.0	0.000
1344	2804	10	1.0	-0.000
794	4180	10	0.8229	165.064
1043	4180	10	0.8072	239.082
4169	4180	10	0.8525	149.033
4180	4193	10	0.9011	-74.019
794	4193	10	0.8989	91.045
1043	4193	10	0.8705	165.064
4169	4193	10	0.833	75.014
1453	1482	10	0.9546	0.000
1482	4276	10	0.9619	0.000
937	3069	10	0.7393	-105.061
794	1043	10	0.9195	-74.018
1453	4276	10	0.9629	0.000
1118	2804	10	1.0	0.000
27	4226	12	0.9335	-0.007
1488	4226	12	0.9114	0.063
3958	4226	12	0.8865	-0.007
4226	4227	12	0.9475	0.001
4226	4232	12	0.8586	-0.066
4226	4249	12	0.8949	-0.065
27	4227	12	0.9437	-0.006
1488	4227	12	0.9201	0.063
3958	4227	12	0.9014	-0.006
4227	4232	12	0.8719	-0.066
27	3958	12	0.8902	0.000
1488	3958	12	0.9113	0.070
3958	4232	12	0.8779	-0.073
3958	4249	12	0.9295	-0.072
1488	4232	12	0.9293	-0.003
1488	4249	12	0.9129	-0.003
4232	4249	12	0.8687	0.001
27	1107	12	0.8889	126.105
1107	4232	12	0.8226	-126.177
27	4232	12	0.8668	-0.072
2215	2991	13	1.0	0.000
1287	1522	14	0.7724	0.000
2511	3112	15	0.9194	-28.031
2518	3112	15	0.8411	-56.062
3112	3174	15	0.9068	17.026
3112	4006	15	0.8587	28.031
3112	4041	15	0.814	56.063
2511	2518	15	0.855	28.031
2518	3103	15	0.9365	17.027
2518	3115	15	0.9036	-2.016
2518	3125	15	0.8467	-18.011
2518	3231	15	0.9036	-2.005
2518	3278	15	0.8883	17.027
2518	3472	15	0.8909	-60.021
2518	4003	15	0.9365	17.027
2518	4041	15	0.9724	0.000
2511	3108	15	0.8349	-18.011
3108	3125	15	0.8433	28.031
3108	3163	15	0.9031	17.027
3108	3371	15	0.8952	-28.031
347	2538	15	0.9206	-0.000
1955	2538	15	0.8436	0.000
2538	3665	15	0.9206	0.000
3115	3125	15	0.8349	-15.995
3115	3152	15	0.8735	17.027
3115	3231	15	1.0	0.010
3115	3404	15	0.8468	-180.063
3115	3544	15	0.8735	17.027
3115	4041	15	0.8966	2.016
347	3665	15	1.0	0.000
1955	3665	15	0.8447	0.000
3382	3665	15	0.8115	60.021
2511	3506	15	0.8386	-60.022
3408	3506	15	0.8003	-48.022
3231	3404	15	0.8468	-180.074
3103	3156	15	0.8502	18.010
3156	3489	15	0.8697	0.000
3156	4003	15	0.8502	-18.010
3125	3194	15	0.9134	17.026
3163	3194	15	0.8522	28.031
2511	3408	15	0.8179	-12.000
3104	3408	15	0.8024	-29.027
3232	3408	15	0.8065	-29.027
3408	4006	15	0.8584	12.000
3103	3104	15	0.806	-28.031
3103	3152	15	0.8255	-2.016
3103	3174	15	0.8422	-56.063
3103	3278	15	0.9003	0.000
3103	3472	15	0.8093	-77.048
3103	3544	15	0.8255	-2.016
3103	4003	15	1.0	0.000
3103	4041	15	0.9212	-17.026
347	1955	15	0.8447	-0.000
